Sentences,Aspect,Target,Polarity,Time
"
Heemm...ada menantu di situ  jadi semua its okat..tx tx dr. HARNO...",Doctor,NULL,Positive,4 years ago
"
Pelayanan OK.
Tapi antrian diloket BPJS mohon dibenahi.
Jangan dicampur dewasa dan anak-anak.",NULL,NULL,Positive,2 years ago
"
Bagus lengkap tapi cukup mahal",Cost,NULL,Negative,2 years ago
"
Bersih, Ramah, BPJS juga bisa ke sini.","Cleanliness, Cost","NULL, NULL","Positive, Positive",9 months ago
"
Pelayanan ramah dan terjangkau",Cost,NULL,Positive,10 months ago
"
Hari minggu ini ya",NULL,NULL,Neutral,2 years ago
"
Big hospital, a lot of Hemodialisa machines and vast space at hemodialisa. Hati-hati kesasar untuk yang pertama kali datang",NULL,NULL,Positive,3 years ago
"
sop buntut nya enak, coba ke cafe pisang PHC",Food,NULL,Positive,5 months ago
"
Pelayanan cukup baik",NULL,NULL,Positive,11 months ago
"
pelayanan bagus sistem berjalan dengan baik, dokter, perawat, admin, dll semuanya great","Doctor, Nurse, Receptionist&Billing","NULL, NULL, NULL","Positive, Positive, Positive",2 years ago
"
Pelayanan yg prima",NULL,NULL,Positive,2 years ago
"
The first facility..... pelayananx cepat, only 24jam.",Waiting Time,NULL,Positive,3 years ago
"
Kesini cuma jenguk doang, jauhnya kebangetan hehe",NULL,NULL,Negative,3 years ago
"
Perawatnya ramah, temoatnya bersih. Buat pelayanan bpjsnya juga bagus bgt","Nurse, Cleanliness, Receptionist&Billing","NULL, NULL, NULL","Positive, Positive, Positive",a year ago
"
Bersih tempatnya. Cozy juga",Cleanliness,NULL,Positive,a year ago
"
Parah mending jangan disini apalagi bagian urologi",NULL,Urology Section,Negative,3 years ago
"
Bersih..",Cleanliness,NULL,Positive,2 years ago
"
nunggu mertua karo nyomya....",Waiting Time,NULL,Neutral,4 years ago
"
Rumah sakitnya bersih dan terakreditasi paripurna dengan keramahan pelayanan",Cleanliness,NULL,Positive,2 years ago
"
Pernah disini",NULL,NULL,Neutral,2 years ago
"
Pelayanan Sangat Baik,, Tidak membedakan pelayanan pasien BPJS, Asuransi ataupun Tunai,, Sangat ramah dan sangat membantu,, terus ditingkatkan pelayanan nya,, Thanks PHC,,",NULL,PHC Hospital,Positive,2 years ago
"
Tempatnya bersih, satpam dan para pegawainya ramah . . .",Cleanliness,NULL,Positive,a year ago
"
Akreditasi paripurna nya 5 bintang juga
*****",NULL,NULL,Positive,4 years ago
"
Bersih,,penanganan utk pasien baik,,",Cleanliness,NULL,Positive,2 years ago
"
Dokter, perawat, bidan, dan tenaga medis lainya bukan TUHAN. ","Doctor, Nurse","NULL, NULL","Neutral, Neutral",3 years ago
"
PHC Sangat bagus pelayanannya",NULL,NULL,Positive,a year ago
"
Ruangan nyaman,  perawat ramah,  administrasi gak ribet","Nurse, Receptionist&Billing","NULL, NULL","Positive, Positive",a year ago
"
Bagus sekali layanan perawatnya
...",Nurse,NULL,Positive,3 years ago
"
Pelanyan dan Dokternya Ramah sekali.",Doctor,NULL,Positive,2 years ago
"
Rumah sakit terakreditasi Paripurna",NULL,NULL,Positive,a year ago
"
Bagus",NULL,NULL,Positive,a year ago
"
PHC Nyaman dekat rumah",NULL,PHC Hospital,Positive,a year ago
"
Rs jahat",NULL,NULL,Negative,a year ago
"
pelayanan nya bagus & gak ribet",NULL,NULL,Positive,2 years ago
"
Seminggu operasi perut",NULL,NULL,Neutral,2 years ago
"
Bagus",NULL,NULL,Positive,2 years ago
"
Terjaga kebersihannya selalu",Cleanliness,NULL,Positive,3 years ago
"
Karena sudah menjadi langganan tetap",NULL,NULL,Positive,3 years ago
"
Dokternya?? ",Doctor,NULL,Neutral,3 years ago
"
Pernah kesini medical cek up, pelayanan memuaskan",Test&Examination,NULL,Positive,3 years ago
"
Bagus",NULL,NULL,Positive,3 years ago
"
 Sejak saya berobat di situ saya langsung sehat",NULL,NULL,Positive,4 years ago
"
pelayanan tempat dan fasilitas sangat memuaskan",NULL,NULL,Positive,4 years ago
"
Banyak pengalaman yang menarik",NULL,NULL,Positive,3 years ago
"
 Mantab pelayananx",NULL,NULL,Positive,4 years ago
I don't know,NULL,NULL,Neutral,5 months ago
Good services,NULL,NULL,Positive,6 months ago
Please improve your queing system for patients using BPJS,NULL,NULL,Negative,9 months ago
"The hospital located on the main street in the Rungkut industrial estate, Surabaya. This is the nearest and biggest hospital in this industrial estate.",NULL,NULL,Positive,2 years ago
Too bad service and no professional. Need more maintenance and training. Not recommended yet.,NULL,NULL,Negative,10 months ago
Please improve administration system ya,Receptionist&Billing,NULL,Negative,7 months ago
Clean and comfort place. Staff is very helpful,Cleanliness,NULL,Positive,a year ago
"Very good and prety doctor, she gave me best advises and medicine",Doctor,NULL,Positive,2 years ago
"HOSPITAL 
BAD SERVICE ",NULL,NULL,Negative,7 months ago
"very good, well done royal",NULL,NULL,Positive,4 years ago
Bad service,NULL,NULL,Negative,7 months ago
Good service and more improved,NULL,NULL,Positive,a year ago
"Now it's named 'Royal Premier Surabaya - Ramsay Hospital', and they are actually quite expensive. But the doctors are professional and will not try to 'sell' you the medicine or treatment. ","Cost, Doctor","Royal Hospital Surabaya, Royal Hospital Surabaya","Negative, Positive",4 years ago
"Not Recommended, Bad services.",NULL,NULL,Negative,11 months ago
Nice one!,NULL,NULL,Positive,a year ago
Bad,NULL,NULL,Negative,7 months ago
Good hospital,NULL,NULL,Positive,3 years ago
Good Service,NULL,NULL,Positive,5 years ago
cozy,NULL,NULL,Positive,5 years ago
My friend said it is cozy,NULL,NULL,Positive,6 years ago
"
Hari rabu tgl 8 Juli 2020 jam 12.30 saya ke poli jantung untuk membantu saudara saya yang habis kontrol untuk menanyakan tgl brp saudara saya harus balik kontrol, sbab mendapat pengantar untuk periksa lab, perawat yang bertugas di poli tersebut sangat tidak ramah membentak saya dengan mengatakan harus pasiennya sendiri yang tanya. Padahal saudara saya lupa dan sudah sampai rumah dan saudara saya capek. Tolong pihak managemen Rumah Sakit Royal memberi training ke staf front yang langsung melayani masyarakat supaya ramah dan sopan, ingat hidup mati rumah sakit tersbut dari pasien yang berobat disitu. Sangat saya sayangkan ada perawat yang tidak sopan begitu bisa diterima di rumah sakit tersebut. Tenaga dokter saya akui pintar, ramah tapi perawatnya seperti itu. Sekali lagi mohon dididik.","Nurse, Doctor","Royal Hospital, Royal Hospital","Negative, Positive",a week ago
"
Rumah sakit tipe c yang pelayanannya lumayan. Tapi sayang untuk daftar rawat jalan bpjs untuk dpt no. antrian tdk di berlakukan sistem antre sblm jam buka. Jd kalo telat dikit aja jalan bisa keduluan sm yg barusan dtng meski kita dtngnya udah lama. Kurang adil menurut saya. Tolonglah satpamnya untuk mengkoordinir pasien yg mau ambil no.antrian.
Misal diseberang mesin no. Antrian ada tmpt duduk,nah yg duduk di kursi depan itu antri maju nomer satu, seterusnya ke samping, sampai kursi blkng.",Waiting Time,NULL,Negative,4 months ago
"
Pelayanan nya sangat tidak memuaskan untuk pengguna asuransi pribadi. Pengalaman saya hari ini (30 Juni 2020) berobat ke dokter Spd, mulai ambil nomor antrian jam 9.30 pagi sampai jam 14.00 proses nya belum selesai. Petugas farmasi juga tidak ada ditempat dr jam 13.00-14.00. 
Dan juga setelah registrasi untuk konsultasi ke dokter anak, ternyata dibatalkan krn dokternya sudah pulang padahal sudah menaruh dokumen asuransi pada antrian. Ya kalo memang dokternya sudah hampir selesai praktek, seharusnya pengambilan no registrasi nya ditutup.
Dari alur berobat rawat jalan juga cukup merepotkan. Pasien harus bolak-balik ke kasir dan farmasi. 
Baru kali ini saya berobat ke RS yang harus mondar-mandir untuk menyerahkan dokumen dan nota. 
Jadi alurnya sebagai berikut, 
Pasien ambil nomor antrian -> menunggu panggilan urutan untuk registrasi -> diproses registrasi -> kemudian ke poli untuk menaruh form asuransi -> ke kasir untuk menyerahkan lembar persetujuan asuransi -> kembali ke poli untuk mengantri ke dokter -> dari dokter dikasih resep untuk diserahkan ke farmasi dan ke kasir untuk menyerahkan form asuransi -> menunggu panggilan dr farmasi untuk rincian total obat ->  ke kasir (lagi) untuk menyerahkan nota rincian obat  -> kembali ke farmasi utk menunggu antrian obat -> obat diserahkan -> proses selesai.
Saran saya, mungkin alur berobat jalan untuk pengguna asuransi pribadi lebih dipermudah dan dipercepat. Apalagi di masa pandemi seperti ini, sangat diperlukan proses yang lebih efisien karena sebisa mungkin pasien tidak terlalu lama berada di RS.
Silahkan hubungi saya apabila ada yang kurang jelas dari pemaparan saya dan semoga masukan ini bisa menjadikan RS Royal lebih baik lagi.","Waiting Time, Receptionist&Billing","Royal Hospital, Royal Hospital","Negative, Negative",3 weeks ago
"
pelayanan sangat buruk terutama bagian pendaftaran dokter atau apalah namanya. ini udah sekitar 2 atau 3 thn lalu sih tp saya msh ingat sekali. saya kesana sore2 mau daftar utk dokter mata. tp respon pegawainya malah ngetawain saya & ibu saya dan jawab pake bhs jawa kasar ""loh yo wes gaiso bu kape nang dokter moto kok yah mene"" udah gt ngerasani ke temen sebelahnya ""yo'opo wong iki kape nang dokter moto kok ket teko hahaha"". kan saya gak tau jadwal dokternya, kalopun saya telat ya bisa dong dikasih tau baik2. lalu dia tanya lg ""atek bpjs to?"" saya lgsg jawab ""gak mbak, bayar full"" tiba2 lgsg ngomongnya pake bhs indonesia ""oh yaudah besok aja, tp bisa daftar skrg kok biar besok dapat antrian awal2"". apa krn penampilan saya & ibu saya yg cuma pake baju rumahan & kesana jalan kaki? rumah saya dekat sekali. kok ngeremehin juga kalo org pake bpjs. kayak dia gak punya bpjs aja.",Receptionist&Billing,NULL,Negative,2 months ago
"
Bersih dan nyaman.",Cleanliness,NULL,Positive,4 months ago
"
Salah satu rumah sakit rujukan BPJS di Surabaya. Hampir tidak ada waktu lengangnya pada hari kerja. Tingkat pelayanan karyawan bisa dibilang sangat bagus apabila mengingat pasiennya mayoritas adalah peserta BPJS, namun sistem antriannya masih perlu perbaikan. Nama pasien dipanggil tanpa pengeras suara yg mengharuskan pasien atau pendampingnya selalu pasang telinga. Semoga ke depannya bisa jadi lebih baik.",NULL,NULL,Positive,6 months ago
"
Pelayanannya Buruk Sekali Terutama bagian Satpam asal Usir !!! orang yang mau menjenguk pasien keluarga, lebih Parahnya Lagi kalau kita mau keluar perawatanya atau minta rujukan kerumah sakit lain,Perawatnya mengancam berkata ""Kalau keluar seluruh administrasi harus bisa dibayar sendiri dari pasien, tidak bisa ditangguhkan BPJS"" , mohon bisa menegur perawat tersebut Dilantai 2 Diamond RS Royal Surabaya , dan diberi penjelasan yg jelas dan benar tentang peraturan sangat super ketat, itu bisa diintrospeksi lebih baik lagi pelayanannya",Nurse,Royal Hospital Surabaya,Negative,4 months ago
"
Ingat rumah sakit royal ingat dr Putri kencana P spog,  dan dr Mareta Spa,  tp antara dr Putri dan dr mareta ibarat langit dan bumi,  dr Putri ramah,  supel dan enjoy oke banget lah pokoknya sedangkan dr mareta sangat sinis,  gampang marah dan gak ada enak"" nya kalau ketemu dr mareta.  Gitu kok yo dipertahankan sm pihak RS Royal",Doctor,Royal Hospital,Negative,4 months ago
"
Rs royal gedung sudah bagus, management penanganan pasien masih semi IT, hospital information sistem, ini mahal harganya tpi era sekarang sangat diperlukan
Dokter sering terlambat datangnya sehingga tidak disiplin waktu
Tempat duduk masih model sistem kapling ditaruh jaket dll padahal orgnya masih dirumah... Harap buat aturan tdk model rumah sakit jadul
Kasih kursibpriority untuk pasien manual disabiltas dll
Sisik jari diganti dengan mesin absensi komputer yg dipasang banyak sehingga pasien daftar tanpa ada pelayanan penjaga.. Lebih cepat dan efisien
Untuk sistem antrian lebih baik pakai nomor antrian electrik yg ada print out dan ada monitor tv urutan nomor ya shg tidak bergerombol di ruang antrian... Pasien bisa tau urutan dan kpn harus balik ke tempat yg mau periksa","Doctor, Waiting Time","Royal Hospital, Royal Hospital","Negative, Negative",6 months ago
"
Tempat bersih, banyak dr spesialis nya yg top, farmasi ajah perlu pembenahan agar tidak terlalu lama, bagian informasi banyak yg kurang tanggap dan suka menyepelekan pasien ( di tanya tidak menghiraukan padahal nganggur lhooo...)informasi nomor 1 laki, Satpam perempuan yg suka dikucir kurang sopan dalam memberi pelayanan sokan gt, satpam perempuan yg gemuk rambut sebahu baik terus tingkatkan yah.","Cleanliness, Doctor, Waiting Time, Receptionist&Billing","NULL, NULL, NULL, NULL","Positive, Positive, Negative, Negative",9 months ago
"
Jadi pasien disini harus sabar dengan customer service dan security karcis poli yg kayaknya ga dilatih etika menghandle customer. Apalagi pasien baru, yg baru pertama kesini,siapin mental nanya pegawai bakal dijudesin. 

Ambil karcis poli, 1jam sebelum jam praktek dokter yg dituju. Klo datang kepagian, sistem karcis poli masih di lock komputer. Klo datang on time jam praktek, kadang kehabisan kuota poli. 

Setelah itu ada 2 loket pelayanan. Baca karcisnya,harus nunggu di loket yg mana.Karena jaraknya berjauhan satu sama lain. Beberapa pasien baru, terlihat salah tempat antri. Kasihan,dipanggil2 ga muncul,jadi dilewat. Padahal orangnya ada,tapi salah lokasi nunggu.

Karena pasien banyak banget, harus sediakan waktu (antri,proses,farmasi) 4-6jam tiap kali kontrol rawat jalan. Harus banyak2 sabar. Begitu sudah beres urus berkas rekam medis dan tinggal menunggu di depan poli yg dituju,mending langsung makan di kantin basement/solat/ke toilet sebelum dokternya datang. Karena panggilan di poli, sistemnya teriak manual nama pasien oleh suster poli, kadang kalah suaranya dengan sound system dari meja loket. Kasihan manula2 yg penglihatan&pendengarannya sudah kurang tapi berani berobat sendirian. Banyak yg menahan lapar atau menunda2 solat karena takut antriannya kelewat.

Salutnya pelayanan rawat inap, lab dan IGD , ramah2, sangat teliti dan hati2, area RS juga aman, bersih, pendinginnya oke. (sayangnya toilet pasien rawat jalan kurang bersih). Ada pelayanan antar (obat) gratis ke rumah dari halodoc juga. Semoga ke depannya lebih baik lagi.","Receptionist&Billing, Cleanliness","NULL, NULL","Negative, Neutral",a year ago
"
jangan kesini plis, sangat mengecewakan bener"" mengecewakan, saya kesana untuk berobat igd gk ada yang layani dong, udah sakit smpe jatuh dilantai and no one bat an eyeball, yes tau perawat cuman satu tpi dikasir tuh trs guna apa coba gk dikasi apa kek dulu mlh ngobrol"", pas gua emosi mo pigi mbak nya cmn bilang "" gk jadi? yaudh"" loh gk ditny knp kek, pecat aj tuh mas sama mbaknya cuma trima gaji buta",Receptionist&Billing,Emergency Department,Negative,5 months ago
"
Saran saja supaya diberi pintu di parkiran mobil belakang ...",Parking,NULL,Negative,4 months ago
"
Peyalan Kinerjanya Sangat - Sangat Kurang Profesional, kurang cepat tanggap dalam penangananya, menunggu sampai 3 jam lebih, apalagi saya disini pernah membawa pasien yang sudah gawat darurat, namun pelayan rs tidak memberikan kamar.",Waiting Time,NULL,Negative,6 months ago
"
Rawat inap nya wahhh  mengecewakan  
Nenek saya pindahan dari IGD di haruskan opname, saya sudah tunggu agak lama di IGD saya kira masih di siapkan kamarnya. Memang sih saya BPJS, tapi waktu masuk kamar di beri yg tidak ber-AC dan bau pengap. Bilang nya besok pagi akan di panggilkan teknisi. Lalu bbrp menit kemudian, petugas masuk kembali bilang akan di pindahkan ke kamar sebelah. Saya kira ini kan orang yang lagi lemah karena sakit ya, harusnya kenapa tidak dari awal di siapkan untuk kamar mana yg berfungsi jadi tidak perlu pindah2. Waktu itu sudah dini hari lho, kenapa berkoordinasi saja susah sekali. Tolong di buat yg efisien utk pasien. Kamar mandi juga bau, tidak ad tissue, toilet kotor. Kok tidak seperti rumah sakit ya, padahal rumah sakit harusnya steril dan bersih. Kemudian besok pagi nya, saya meminta sebuah gelas di judes in. Saya sampai malas, yasudah ngga perlu gelas2 an saya beli di luar saja.","Waiting Time, Cleanliness","NULL, Toilet","Negative, Negative",6 months ago
"
Pendaftaran manual sungguh sangat lama, saran saya kalau daftar menggunakan halodoc, untuk pelayanan di poli dokter spesialis cepat dan ramah, yg lama itu nunggu antriannya, sedangkan untuk pelayanan rawat inap anak-anak ramah dan enak makanannya dan jadwal dokter kunjungnya rutin, tapi kalau untuk rawat inap dewasa menurut saya sendiri selama 3hari disana tidak ada kunjungan dokter padahal saya disana operasi, untuk kebersihan rumah sakitnya memang saya akui bersih.","Receptionist&Billing, Waiting Time, Food, Cleanliness","NULL, NULL, NULL, NULL","Negative, Negative, Positive, Positive",5 months ago
"
Baru ini rumah sakit memberikan pelayanan sangat buruk apalagi pengguna bpjs.contoh pasien diperkenankan antri dari pagi untuk mengambil antrian yg notabene loket antri dibuka jam 4 sore,dan dokter masuk poli jam 7 .kasihan org2 sakit yg sedang berumur tua.dengan dalih kuota hanya 40 org . Buat apa skrg bisa online untuk antri tp pelayanaannya buruk sekali....benar2 buruk","Waiting Time, Receptionist&Billing","NULL, NULL","Negative, Negative",5 months ago
